1,718,1631,703,1706,625,1741,533,1816,447,1850,418,1919,420,1929,445,1909,517,1824,548,1732,623,1645,659,1621
2,718,1632,702,1708,624,1743,531,1818,445,1851,418,1920,420,1929,446,1907,518,1822,549,1730,625,1643,700,1620
3,718,1633,701,1709,622,1744,530,1819,444,1852,417,1921,421,1929,447,1906,519,1820,550,1729,626,1642,701,1620
4,718,1634,700,1710,620,1745,528,1820,443,1853,417,1922,421,1929,448,1905,520,1819,551,1727,627,1641,702,1620
5,718,1634,659,1711,619,1746,526,1821,442,1854,417,1922,422,1929,449,1904,521,1817,552,1725,628,1640,703,1620
6,718,1635,657,1713,617,1747,525,1822,440,1855,416,1923,423,1928,450,1903,522,1815,553,1723,630,1639,704,1620
7,718,1636,656,1714,616,1748,523,1823,439,1856,416,1924,423,1928,451,1901,523,1814,554,1722,631,1638,705,1620
8,718,1638,655,1715,614,1750,521,1824,438,1857,416,1924,424,1928,452,1900,524,1812,556,1720,632,1637,706,1620
9,718,1639,654,1717,612,1751,520,1825,437,1858,416,1925,425,1927,453,1859,525,1810,557,1718,633,1635,707,1620
10,718,1640,653,1718,611,1752,518,1826,436,1859,415,1925,425,1927,454,1857,526,1808,558,1717,634,1634,708,1620
11,717,1641,651,1719,609,1753,516,1828,435,1900,415,1926,426,1926,455,1856,527,1807,559,1715,636,1633,708,1620
12,717,1642,650,1720,607,1754,515,1829,434,1901,415,1926,427,1926,456,1855,528,1805,600,1714,637,1632,709,1620
13,717,1643,649,1722,606,1755,513,1830,432,1902,415,1927,428,1925,457,1853,529,1803,601,1712,638,1632,710,1620
14,716,1644,647,1723,604,1756,512,1831,431,1903,415,1927,428,1925,458,1852,530,1801,602,1710,639,1631,711,1620
15,716,1645,646,1724,602,1758,510,1832,430,1904,415,1928,429,1924,459,1850,531,1800,603,1709,641,1630,711,1621
16,715,1646,645,1725,600,1759,509,1833,429,1905,415,1928,430,1923,500,1849,532,1758,604,1707,642,1629,712,1621
17,715,1648,643,1727,559,1800,507,1834,429,1906,415,1928,431,1923,501,1847,533,1756,606,1706,643,1628,713,1621
18,714,1649,642,1728,557,1801,505,1835,428,1907,415,1929,432,1922,502,1846,534,1754,607,1704,644,1627,713,1622
19,714,1650,640,1729,555,1802,504,1836,427,1908,415,1929,433,1921,503,1844,535,1753,608,1703,645,1627,714,1622
20,713,1651,639,1730,554,1803,502,1837,426,1909,416,1929,433,1920,504,1843,536,1751,609,1701,647,1626,714,1622
21,712,1652,637,1732,552,1804,501,1839,425,1910,416,1929,434,1919,505,1841,537,1749,610,1700,648,1625,715,1623
22,712,1654,636,1733,550,1805,459,1840,424,1911,416,1929,435,1919,506,1840,538,1747,611,1658,649,1625,715,1624
23,711,1655,635,1734,549,1807,458,1841,423,1912,416,1930,436,1918,507,1838,539,1746,613,1657,650,1624,716,1624
24,710,1656,633,1735,547,1808,456,1842,423,1913,417,1930,437,1917,508,1837,540,1744,614,1655,651,1623,716,1625
25,709,1657,631,1737,545,1809,455,1843,422,1914,417,1930,438,1916,510,1835,542,1742,615,1654,652,1623,717,1625
26,708,1659,630,1738,543,1810,454,1844,421,1915,417,1930,439,1915,511,1834,543,1741,616,1653,654,1622,717,1626
27,708,1700,628,1739,542,1811,452,1845,421,1915,418,1930,440,1914,512,1832,544,1739,617,1651,655,1622,717,1627
28,707,1701,627,1740,540,1812,451,1846,420,1916,418,1930,441,1913,513,1830,545,1737,619,1650,656,1622,718,1627
29,706,1702,,,538,1813,449,1847,420,1917,419,1930,442,1912,514,1829,546,1735,620,1649,657,1621,718,1628
30,705,1704,,,537,1814,448,1848,419,1918,419,1930,443,1911,515,1827,547,1734,621,1647,658,1621,718,1629
31,704,1705,,,535,1815,,,419,1919,,,444,1910,516,1825,,,622,1646,,,718,1630
